symbol,type,strike,cycle,from,to,multiple,start,end,bars,dte_at_low,stock_1h_before,moneyness_at_low
BEL,CALL,385.0,202507,0.6,2.45,4.083333333333334,2025-07-31 12:00:00,2025-07-31 13:15:00,4,0,-0.10400416016641545,-0.2077922077922123
ASIANPAINT,CALL,2760.0,202601,16.35,66.7,4.079510703363914,2025-12-26 10:15:00,2026-01-02 14:45:00,29,34,-1.036139394808533,0.01086956521740845
IEX,CALL,190.0,202504,0.7,2.85,4.071428571428572,2025-04-23 10:30:00,2025-04-24 12:15:00,29,1,-0.6930850219565077,-1.210526315789484
IEX,CALL,135.0,202601,1.43,5.81,4.0629370629370625,2025-12-26 14:30:00,2025-12-31 09:45:00,5,34,-0.3392330383480857,0.10370370370369475
POWERINDIA,CALL,18250.0,202601,183.45,742.75,4.0487871354592535,2025-12-26 14:45:00,2026-01-01 14:30:00,43,34,-0.435137340223013,0.3013698630137007
PGEL,CALL,570.0,202511,2.25,9.1,4.044444444444444,2025-11-25 15:00:00,2025-11-25 15:15:00,1,2,-0.4880174291938877,0.16666666666667052
NMDC,CALL,82.0,202601,0.71,2.87,4.042253521126761,2025-12-26 10:00:00,2026-01-01 10:15:00,3,34,1.0094792564323551,0.06097560975608651
COALINDIA,CALL,395.0,202510,0.35,1.4,4.0,2025-10-28 10:00:00,2025-10-28 11:30:00,2,2,-0.6046101524121328,-0.11392405063290756
NMDC,CALL,70.0,202506,0.1,0.4,4.0,2025-06-26 14:00:00,2025-06-26 14:30:00,2,0,0.3170485660757949,-0.557142857142856
PGEL,CALL,800.0,202507,3.0,12.0,4.0,2025-07-31 10:00:00,2025-07-31 11:00:00,4,0,-1.4276846679081356,-0.7499999999999951
TECHM,CALL,1420.0,202503,0.75,3.0,4.0,2025-03-27 14:00:00,2025-03-27 15:00:00,3,0,0.056505156095498776,-0.23943661971831398
RBLBANK,CALL,195.0,202504,0.45,1.8,4.0,2025-04-24 10:15:00,2025-04-24 11:00:00,3,0,1.2940745009692556,-0.851282051282054
KALYANKJIL,CALL,385.0,202604,5.25,20.95,3.9904761904761905,2026-03-27 11:15:00,2026-04-01 14:30:00,7,34,0.33739942901636066,0.4155844155844246
ANGELONE,CALL,2200.0,202502,4.75,18.85,3.9684210526315793,2025-02-27 10:15:00,2025-02-27 10:30:00,1,0,-2.2438803263825857,-1.9840909090909187
EXIDEIND,CALL,395.0,202510,3.15,12.45,3.952380952380952,2025-09-26 13:00:00,2025-10-03 14:15:00,44,34,-0.15166835187058192,0.0
ASIANPAINT,CALL,2320.0,202503,2.8,11.05,3.946428571428572,2025-03-27 09:45:00,2025-03-27 13:00:00,13,0,-0.5978108939208249,-0.37715517241379004
HEROMOTOCO,CALL,5050.0,202604,8.0,31.5,3.9375,2026-04-28 14:15:00,2026-04-28 14:30:00,1,2,-0.17797112912794066,-0.03960396039603964
AXISBANK,CALL,1160.0,202510,7.9,31.05,3.930379746835443,2025-09-26 12:30:00,2025-10-09 13:00:00,17,34,-0.017228012748737864,0.060344827586211736
KALYANKJIL,CALL,490.0,202601,4.5,17.65,3.922222222222222,2025-12-26 14:30:00,2026-01-05 09:30:00,11,34,-0.6077180188392539,0.13265306122447473
EXIDEIND,CALL,365.0,202601,2.45,9.6,3.918367346938775,2025-12-26 15:15:00,2026-01-02 10:45:00,8,34,-0.08204567209078029,0.09589041095892092
WIPRO,CALL,267.5,202601,1.67,6.5,3.8922155688622757,2025-12-26 11:45:00,2026-01-08 09:45:00,26,34,-0.05594509920929802,0.17570093457945912
INDIGO,CALL,4450.0,202502,7.5,29.15,3.8866666666666663,2025-02-27 10:00:00,2025-02-27 10:30:00,2,0,0.02822658040624315,-0.4865168539325726
GODREJPROP,CALL,2000.0,202601,17.5,67.7,3.8685714285714288,2025-12-26 15:15:00,2025-12-31 10:15:00,4,34,-0.09990009990009652,0.0
INFY,CALL,1520.0,202507,0.35,1.35,3.8571428571428577,2025-07-31 13:00:00,2025-07-31 13:15:00,1,0,0.3976143141153132,-0.3289473684210509
